Date,Net Peak Capability(MW),Peak Load(MW),Operating Reserve(MW),Operating Reserve Percent(%)
20200101,28125,25335,2790,11.01
20200102,31303,28223,3080,10.91
20200103,31676,28292,3384,11.96
20200104,29219,25583,3636,14.21
20200105,27456,24761,2695,10.88
20200106,31653,28644,3009,10.51
20200107,32248,29144,3104,10.65
20200108,31779,28544,3235,11.33
20200109,31861,28730,3131,10.9
20200110,31774,28476,3298,11.58
20200111,29193,25342,3851,15.2
20200112,27933,24842,3091,12.44
20200113,31804,28647,3157,11.02
20200114,32213,28801,3412,11.85
20200115,31817,28431,3386,11.91
20200116,31719,28714,3005,10.47
20200117,31585,28186,3399,12.06
20200118,29228,26068,3160,12.12
20200119,28656,25322,3334,13.17
20200120,31153,27970,3183,11.38
20200121,30776,27517,3259,11.84
20200122,29635,25748,3887,15.09
20200123,26875,23531,3344,14.21
20200124,25026,21543,3483,16.17
20200125,24573,21022,3551,16.89
20200126,24702,21174,3528,16.66
20200127,25414,21710,3704,17.06
20200128,26470,22817,3653,16.01
20200129,27288,23984,3304,13.77
20200130,29314,26323,2991,11.36
20200131,30075,26714,3361,12.58
20200201,29101,25211,3890,15.43
20200202,28063,24816,3247,13.08
20200203,32048,27960,4088,14.62
20200204,31745,28443,3302,11.61
20200205,32040,28397,3643,12.83
20200206,31829,28482,3347,11.75
20200207,32042,28275,3767,13.32
20200208,29290,25630,3660,14.28
20200209,28234,25150,3084,12.26
20200210,31429,28283,3146,11.12
20200211,31882,28663,3219,11.23
20200212,31881,28533,3348,11.73
20200213,32340,29094,3246,11.16
20200214,32322,29199,3123,10.7
20200215,30766,27770,2996,10.79
20200216,29047,25062,3985,15.9
20200217,32044,28300,3744,13.23
20200218,32675,28426,4249,14.95
20200219,31938,28374,3564,12.56
20200220,31745,28613,3132,10.94
20200221,31665,28527,3138,11
20200222,29721,26047,3674,14.11
20200223,28803,25064,3739,14.92
20200224,31837,28827,3010,10.44
20200225,32320,29196,3124,10.7
20200226,32634,29467,3167,10.75
20200227,32621,28368,4253,14.99
20200228,29642,26356,3286,12.47
20200229,28483,25677,2806,10.93
20200301,28307,24986,3321,13.29
20200302,31852,28557,3295,11.54
20200303,32289,29183,3106,10.64
20200304,32616,28858,3758,13.02
20200305,32126,28608,3518,12.3
20200306,31748,28569,3179,11.13
20200307,29894,26182,3712,14.18
20200308,28936,25557,3379,13.22
20200309,32862,29653,3209,10.82
20200310,32522,28591,3931,13.75
20200311,31786,28531,3255,11.41
20200312,32350,29348,3002,10.23
20200313,32263,29165,3098,10.62
20200314,29628,25802,3826,14.83
20200315,28330,24837,3493,14.06
20200316,32804,27984,4820,17.22
